AccountOrganizationId,AccountOrganizationNumber,CostCenterDescription,Inactive
1,1100,Administration,0
2,1200,Administration,0
3,2100,Security,0
4,2136,Security,0
5,2137,Security,0
6,2146,Security,0
7,2156,Security,0
8,2160,Security,0
9,2161,Security,0
10,2166,Security,0
11,2167,Security,0
12,2177,Security,0
13,2186,Security,0
14,2210,Security,0
15,2211,Security,0
16,2300,Security,0
17,2400,Security,0
18,2600,Security,0
19,2800,Security,0
20,2900,Security,0
21,3100,Security,0
22,3101,Security,0
23,3150,Security,0
24,3200,Security,0
25,3300,Security,0
26,3400,Security,0
27,3500,Security,0
28,4100,Security,0
29,4200,Security,0
30,4400,Security,0
31,5401,Security,0
32,7777,Canteen,0
33,402012100,,0
34,402202150,,0
35,405101100,,0
36,405203100,,0
37,406101100,,0
38,406203150,,0
39,409202100,,0
40,414202300,,0
41,415801700,,0
42,421011200,,0
43,482034100,,0
44,4001011001,,0
45,4001011003,,0
46,4002011010,,0
47,4002011011,,0
48,4002011012,,0
49,4002011013,,0
50,4002011014,,0
51,4002011015,,0
52,4002011016,,0
53,4002011017,,0
54,4002011201,,0
55,4002011202,,0
56,4003011080,,0
57,4003012000,,0
58,4004011090,,0
59,4011011200,,0
60,4021011100,,0
61,4021011110,,0
62,4021011120,,0
63,4021011200,,0
64,4021011201,,0
65,4021011202,,0
66,4022011200,,0
67,4022012110,,0
68,4022012112,,0
69,4022012113,,0
70,4022012114,,0
71,4022012115,,0
72,4022012116,,0
73,4022012120,,0
74,4022012125,,0
75,4022012130,,0
76,4022012135,,0
77,4022012140,,0
78,4022012142,,0
79,4022012145,,0
80,4022012150,,0
81,4022012151,,0
82,4022012155,,0
83,4022012162,,0
84,4022012165,,0
85,4022012168,,0
86,4022012171,,0
87,4022012175,,0
88,4022012180,,0
89,4022012185,,0
90,4022012190,,0
91,4022012195,,0
92,4022012200,,0
93,4022012210,,0
94,4022012220,,0
95,4022012300,,0
96,4022012302,,0
97,4022012305,,0
98,4022012310,,0
99,4022012320,,0
100,4022012325,,0
101,4022012400,,0
102,4022012500,,0
103,4022012600,,0
104,4022012645,,0
105,4022012650,,0
106,4022012655,,0
107,4022012800,,0
108,4022023100,,0
109,4022023150,,0
110,4022023160,,0
111,4022023200,,0
112,4022023300,,0
113,4022034100,,0
114,4022034120,,0
115,4022034200,,0
116,4051011100,,0
117,4051011200,,0
118,4051011201,,0
119,4052012100,,0
120,4052012200,,0
121,4052012300,,0
122,4052012400,,0
123,4052012500,,0
124,4052012600,,0
125,4052012800,,0
126,4052023100,,0
127,4052023150,,0
128,4052023200,,0
129,4052034100,,0
130,4052034200,,0
131,4061011100,,0
132,4061011200,,0
133,4061011202,,0
134,4062012100,,0
135,4062012137,,0
136,4062012200,,0
137,4062012300,,0
138,4062012400,,0
139,4062012500,,0
140,4062012600,,0
141,4062023100,,0
